,TOTALDEMAND,Months,Quarters,date_time,days,weekday
0,7166.97,1,1.0,2013-01-01 00:30:00,1,1
1,6928.11,1,1.0,2013-01-01 01:00:00,1,1
2,6541.21,1,1.0,2013-01-01 01:30:00,1,1
3,6253.6,1,1.0,2013-01-01 02:00:00,1,1
4,6003.44,1,1.0,2013-01-01 02:30:00,1,1
5,5838.95,1,1.0,2013-01-01 03:00:00,1,1
6,5740.95,1,1.0,2013-01-01 03:30:00,1,1
7,5669.57,1,1.0,2013-01-01 04:00:00,1,1
8,5682.72,1,1.0,2013-01-01 04:30:00,1,1
9,5622.05,1,1.0,2013-01-01 05:00:00,1,1
10,5641.45,1,1.0,2013-01-01 05:30:00,1,1
11,5697.65,1,1.0,2013-01-01 06:00:00,1,1
12,5795.18,1,1.0,2013-01-01 06:30:00,1,1
13,5970.54,1,1.0,2013-01-01 07:00:00,1,1
14,6210.31,1,1.0,2013-01-01 07:30:00,1,1
15,6446.44,1,1.0,2013-01-01 08:00:00,1,1
16,6685.85,1,1.0,2013-01-01 08:30:00,1,1
17,6935.52,1,1.0,2013-01-01 09:00:00,1,1
18,7181.91,1,1.0,2013-01-01 09:30:00,1,1
19,7419.87,1,1.0,2013-01-01 10:00:00,1,1
20,7632.07,1,1.0,2013-01-01 10:30:00,1,1
21,7836.46,1,1.0,2013-01-01 11:00:00,1,1
22,8028.11,1,1.0,2013-01-01 11:30:00,1,1
23,8191.96,1,1.0,2013-01-01 12:00:00,1,1
24,8304.6,1,1.0,2013-01-01 12:30:00,1,1
25,8318.54,1,1.0,2013-01-01 13:00:00,1,1
26,8336.16,1,1.0,2013-01-01 13:30:00,1,1
27,8416.56,1,1.0,2013-01-01 14:00:00,1,1
28,8484.89,1,1.0,2013-01-01 14:30:00,1,1
29,8603.44,1,1.0,2013-01-01 15:00:00,1,1
30,8676.97,1,1.0,2013-01-01 15:30:00,1,1
31,8729.66,1,1.0,2013-01-01 16:00:00,1,1
32,8790.02,1,1.0,2013-01-01 16:30:00,1,1
33,8840.88,1,1.0,2013-01-01 17:00:00,1,1
34,8779.21,1,1.0,2013-01-01 17:30:00,1,1
35,8682.72,1,1.0,2013-01-01 18:00:00,1,1
36,8472.41,1,1.0,2013-01-01 18:30:00,1,1
37,8247.96,1,1.0,2013-01-01 19:00:00,1,1
38,8150.58,1,1.0,2013-01-01 19:30:00,1,1
39,8218.29,1,1.0,2013-01-01 20:00:00,1,1
40,8100.54,1,1.0,2013-01-01 20:30:00,1,1
41,7866.23,1,1.0,2013-01-01 21:00:00,1,1
42,7769.58,1,1.0,2013-01-01 21:30:00,1,1
43,7597.65,1,1.0,2013-01-01 22:00:00,1,1
44,7503.49,1,1.0,2013-01-01 22:30:00,1,1
45,7274.1,1,1.0,2013-01-01 23:00:00,1,1
46,7042.66,1,1.0,2013-01-01 23:30:00,1,1
47,6897.58,1,1.0,2013-01-02 00:00:00,1,1
48,6696.72,1,1.0,2013-01-02 00:30:00,2,1
49,6461.73,1,1.0,2013-01-02 01:00:00,2,1
50,6152.11,1,1.0,2013-01-02 01:30:00,2,1
51,5975.43,1,1.0,2013-01-02 02:00:00,2,1
52,5824.85,1,1.0,2013-01-02 02:30:00,2,1
53,5737.42,1,1.0,2013-01-02 03:00:00,2,1
54,5721.18,1,1.0,2013-01-02 03:30:00,2,1
55,5754.35,1,1.0,2013-01-02 04:00:00,2,1
56,5870.14,1,1.0,2013-01-02 04:30:00,2,1
57,5967.78,1,1.0,2013-01-02 05:00:00,2,1
58,6258.25,1,1.0,2013-01-02 05:30:00,2,1
59,6550.64,1,1.0,2013-01-02 06:00:00,2,1
60,6870.84,1,1.0,2013-01-02 06:30:00,2,1
